arrayType;sortMethod;arraySize;duration;comparisons
reversed_sorted;string_mergesort;2300;4032;78674
reversed_sorted;msd_radix_sort;2300;7221;78674
reversed_sorted;msd_radix_sort_switch;2300;2198;78674
reversed_sorted;std_quicksort;2400;716;36685
reversed_sorted;std_mergesort;2400;635;60203
reversed_sorted;string_quicksort;2400;181954;60203
reversed_sorted;string_mergesort;2400;4140;82354
reversed_sorted;msd_radix_sort;2400;7296;82354
reversed_sorted;msd_radix_sort_switch;2400;2207;82354
reversed_sorted;std_quicksort;2500;744;37632
reversed_sorted;std_mergesort;2500;636;62039
reversed_sorted;string_quicksort;2500;191629;62039
reversed_sorted;string_mergesort;2500;4348;85181
reversed_sorted;msd_radix_sort;2500;7565;85181
reversed_sorted;msd_radix_sort_switch;2500;2242;85181
reversed_sorted;std_quicksort;2600;784;39051
reversed_sorted;std_mergesort;2600;670;64401
reversed_sorted;string_quicksort;2600;206530;64401
reversed_sorted;string_mergesort;2600;4395;88485
reversed_sorted;msd_radix_sort;2600;7663;88485
reversed_sorted;msd_radix_sort_switch;2600;2291;88485
reversed_sorted;std_quicksort;2700;814;40382
reversed_sorted;std_mergesort;2700;719;67200
reversed_sorted;string_quicksort;2700;226383;67200
reversed_sorted;string_mergesort;2700;5221;92441
reversed_sorted;msd_radix_sort;2700;8101;92441
reversed_sorted;msd_radix_sort_switch;2700;2313;92441
reversed_sorted;std_quicksort;2800;837;41738
reversed_sorted;std_mergesort;2800;744;69324
reversed_sorted;string_quicksort;2800;239916;69324
reversed_sorted;string_mergesort;2800;4988;95635
reversed_sorted;msd_radix_sort;2800;8290;95635
reversed_sorted;msd_radix_sort_switch;2800;2455;95635
reversed_sorted;std_quicksort;2900;871;42908
reversed_sorted;std_mergesort;2900;750;71361
reversed_sorted;string_quicksort;2900;262899;71361
reversed_sorted;string_mergesort;2900;5985;98675
reversed_sorted;msd_radix_sort;2900;9785;98675
reversed_sorted;msd_radix_sort_switch;2900;2928;98675
reversed_sorted;std_quicksort;3000;1054;44295
reversed_sorted;std_mergesort;3000;789;73621
reversed_sorted;string_quicksort;3000;281633;73621
reversed_sorted;string_mergesort;3000;6313;101664
reversed_sorted;msd_radix_sort;3000;9007;101664
reversed_sorted;msd_radix_sort_switch;3000;2627;101664
almost_sorted;std_quicksort;100;28;1273
almost_sorted;std_mergesort;100;20;1958
almost_sorted;string_quicksort;100;316;1958
almost_sorted;string_mergesort;100;112;2583
almost_sorted;msd_radix_sort;100;288;2583
almost_sorted;msd_radix_sort_switch;100;97;2583
